Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Collin Sexton,33,32,987,23.5,.567,.498,.299,.575,622,4.1,9.8,7.0,27.8,1.6,0.3,14.2,32.9,,3.2,1.2,4.4,.177,,6.5,0.0,6.5
1,Deandre Ayton,35,35,1172,32.6,.650,.625,.078,.424,666,13.5,28.2,21.4,10.2,1.0,6.1,11.3,26.6,,5.5,2.1,7.6,.259,,6.8,4.0,10.9
2,Allonzo Trier,33,33,1124,22.6,.656,.595,.500,.503,558,1.3,9.1,5.5,17.4,1.1,1.1,13.3,23.9,,4.5,1.0,5.5,.196,,7.9,-0.2,7.7
1,Chandler Hutchison,31,31,961,25.9,.575,.528,.296,.519,603,3.4,25.6,14.6,24.1,2.7,0.9,16.2,33.2,,2.8,2.2,5.0,.208,,3.6,4.3,7.9
2,Jacob Evans,36,36,1107,20.5,.543,.507,.430,.302,461,5.2,12.0,8.7,20.0,2.6,3.7,12.7,22.5,,2.8,3.1,5.9,.213,,4.5,6.1,10.6
2,George King,32,31,913,18.8,.574,.542,.492,.273,384,7.2,23.3,15.5,8.2,1.1,2.6,15.1,23.3,,1.7,1.3,3.0,.132,,2.2,2.1,4.3
1,Khyri Thomas,33,33,1046,21.8,.650,.629,.442,.249,474,4.0,11.0,7.7,15.1,2.9,0.8,13.4,21.0,,3.1,1.7,4.8,.183,,6.5,3.1,9.6
6,Kostas Antetokounmpo,29,6,438,13.7,.575,.584,.149,.634,142,7.3,16.9,12.3,5.9,1.0,8.3,22.9,20.9,,0.2,0.5,0.7,.062,,-3.6,2.6,-1.0
1,Marvin Bagley III,33,32,1118,30.6,.643,.640,.132,.475,630,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,,4.8,2.1,6.9,.248,,7.7,3.0,10.7
2,Grayson Allen,37,37,1319,18.8,.580,.536,.637,.293,574,1.8,8.0,5.1,21.2,2.8,0.2,13.8,20.7,,4.0,2.0,5.9,.179,,7.1,2.3,9.4
3,Wendell Carter Jr.,37,37,997,28.2,.628,.591,.144,.527,501,12.8,23.2,18.4,13.0,1.7,7.6,15.8,22.8,,3.6,2.3,5.9,.239,,6.0,7.5,13.5
4,Gary Trent Jr.,37,37,1253,16.7,.567,.528,.564,.227,468,2.9,10.3,6.8,6.8,1.9,0.4,7.4,19.5,,3.3,1.8,5.1,.163,,5.4,1.8,7.2
5,Trevon Duval,37,34,1103,13.7,.489,.473,.309,.257,449,2.1,4.9,3.6,30.3,2.8,0.5,20.8,21.3,,1.5,1.5,3.0,.108,,1.7,1.5,3.2
2,Josh Okogie,24,24,873,22.3,.550,.475,.313,.506,421,7.3,13.1,10.2,15.6,2.9,2.8,13.3,27.3,,2.1,1.3,3.4,.156,,4.8,2.0,6.8
1,Devonte' Graham,18,18,39.1,5.2,13.3,.389,2.2,6.1,.367,2.9,7.2,.408,5.4,6.5,.829,0.6,3.5,4.1,7.0,1.5,0.0,2.7,1.8,18.7
2,Sviatoslav Mykhailiuk,18,18,35.7,4.9,11.6,.421,1.9,4.9,.386,3.0,6.7,.446,1.3,1.6,.793,1.3,2.8,4.1,2.8,1.1,0.3,1.9,2.7,14.1
1,Shai Gilgeous-Alexander,37,24,1248,21.2,.578,.516,.151,.464,571,3.2,10.0,6.8,28.8,2.8,1.7,17.9,21.9,,3.3,1.9,5.2,.167,,5.5,3.6,9.1
2,Kevin Knox,37,37,1198,17.0,.556,.510,.380,.373,518,3.3,14.5,9.3,8.7,1.5,1.0,14.1,24.6,,2.3,1.7,4.0,.133,,3.4,1.4,4.8
5,Hamidou Diallo,37,37,918,13.8,.498,.470,.246,.399,348,4.2,11.5,8.1,9.5,1.7,1.6,12.0,22.6,,1.1,1.3,2.4,.103,,1.3,1.9,3.2
9,Jarred Vanderbilt,14,0,238,21.6,.476,.426,.015,.559,103,23.1,27.9,25.7,10.7,1.4,5.3,14.8,20.8,,0.5,0.5,1.0,.172,,2.6,5.2,7.8
1,Raymond Spalding,36,34,995,25.6,.568,.550,.056,.338,452,13.2,20.9,17.3,9.6,3.1,6.3,13.5,22.9,,2.4,2.4,4.8,.193,,3.5,6.5,10.0
2,Deng Adel,34,33,1126,17.3,.554,.511,.360,.330,487,2.3,14.3,8.6,16.5,1.1,1.0,14.4,24.1,,2.0,1.5,3.6,.127,,3.1,1.2,4.3
