,Player,G,GS,MP,PER,TS_Perc,eFG_Perc,3PAr,FTr,PProd,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
0,Collin Sexton,33,32,987.0,23.5,0.5670000000000001,0.498,0.299,0.575,622.0,4.1,9.8,7.0,27.8,1.6,0.3,14.2,32.9,3.2,1.2,4.4,0.177,6.5,0.0,6.5
1,Deandre Ayton,35,35,1172.0,32.6,0.65,0.625,0.078,0.424,666.0,13.5,28.2,21.4,10.2,1.0,6.1,11.3,26.6,5.5,2.1,7.6,0.259,6.8,4.0,10.9
2,Allonzo Trier,33,33,1124.0,22.6,0.6559999999999999,0.595,0.5,0.503,558.0,1.3,9.1,5.5,17.4,1.1,1.1,13.3,23.9,4.5,1.0,5.5,0.196,7.9,-0.2,7.7
3,Chandler Hutchison,31,31,961.0,25.9,0.575,0.528,0.29600000000000004,0.519,603.0,3.4,25.6,14.6,24.1,2.7,0.9,16.2,33.2,2.8,2.2,5.0,0.20800000000000002,3.6,4.3,7.9
4,Jacob Evans,36,36,1107.0,20.5,0.5429999999999999,0.507,0.43,0.302,461.0,5.2,12.0,8.7,20.0,2.6,3.7,12.7,22.5,2.8,3.1,5.9,0.213,4.5,6.1,10.6
5,George King,32,31,913.0,18.8,0.574,0.542,0.49200000000000005,0.273,384.0,7.2,23.3,15.5,8.2,1.1,2.6,15.1,23.3,1.7,1.3,3.0,0.132,2.2,2.1,4.3
6,Khyri Thomas,33,33,1046.0,21.8,0.65,0.629,0.442,0.249,474.0,4.0,11.0,7.7,15.1,2.9,0.8,13.4,21.0,3.1,1.7,4.8,0.183,6.5,3.1,9.6
7,Kostas Antetokounmpo,29,6,438.0,13.7,0.575,0.584,0.149,0.634,142.0,7.3,16.9,12.3,5.9,1.0,8.3,22.9,20.9,0.2,0.5,0.7,0.062,-3.6,2.6,-1.0
8,Marvin Bagley III,33,32,1118.0,30.6,0.643,0.64,0.132,0.475,630.0,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,4.8,2.1,6.9,0.248,7.7,3.0,10.7
9,Grayson Allen,37,37,1319.0,18.8,0.58,0.536,0.637,0.293,574.0,1.8,8.0,5.1,21.2,2.8,0.2,13.8,20.7,4.0,2.0,5.9,0.179,7.1,2.3,9.4
10,Wendell Carter Jr.,37,37,997.0,28.2,0.628,0.591,0.14400000000000002,0.527,501.0,12.8,23.2,18.4,13.0,1.7,7.6,15.8,22.8,3.6,2.3,5.9,0.239,6.0,7.5,13.5
11,Gary Trent Jr.,37,37,1253.0,16.7,0.5670000000000001,0.528,0.564,0.22699999999999998,468.0,2.9,10.3,6.8,6.8,1.9,0.4,7.4,19.5,3.3,1.8,5.1,0.163,5.4,1.8,7.2
12,Trevon Duval,37,34,1103.0,13.7,0.489,0.473,0.309,0.257,449.0,2.1,4.9,3.6,30.3,2.8,0.5,20.8,21.3,1.5,1.5,3.0,0.10800000000000001,1.7,1.5,3.2
13,Josh Okogie,24,24,873.0,22.3,0.55,0.475,0.313,0.506,421.0,7.3,13.1,10.2,15.6,2.9,2.8,13.3,27.3,2.1,1.3,3.4,0.156,4.8,2.0,6.8
14,Devonte' Graham,18,18,39.1,5.2,13.3,0.389,2.2,6.1,0.36700000000000005,2.9,7.2,0.408,5.4,6.5,0.8290000000000001,0.6,3.5,7.0,1.5,0.0,2.7,18.7,0.0,0.0
15,Sviatoslav Mykhailiuk,18,18,35.7,4.9,11.6,0.42100000000000004,1.9,4.9,0.386,3.0,6.7,0.446,1.3,1.6,0.7929999999999999,1.3,2.8,2.8,1.1,0.3,1.9,14.1,0.0,0.0
16,Shai Gilgeous-Alexander,37,24,1248.0,21.2,0.578,0.516,0.151,0.46399999999999997,571.0,3.2,10.0,6.8,28.8,2.8,1.7,17.9,21.9,3.3,1.9,5.2,0.16699999999999998,5.5,3.6,9.1
17,Kevin Knox,37,37,1198.0,17.0,0.556,0.51,0.38,0.373,518.0,3.3,14.5,9.3,8.7,1.5,1.0,14.1,24.6,2.3,1.7,4.0,0.133,3.4,1.4,4.8
18,Hamidou Diallo,37,37,918.0,13.8,0.498,0.47,0.24600000000000002,0.39899999999999997,348.0,4.2,11.5,8.1,9.5,1.7,1.6,12.0,22.6,1.1,1.3,2.4,0.10300000000000001,1.3,1.9,3.2
19,Jarred Vanderbilt,14,0,238.0,21.6,0.47600000000000003,0.426,0.015,0.5589999999999999,103.0,23.1,27.9,25.7,10.7,1.4,5.3,14.8,20.8,0.5,0.5,1.0,0.172,2.6,5.2,7.8
20,Raymond Spalding,36,34,995.0,25.6,0.568,0.55,0.055999999999999994,0.33799999999999997,452.0,13.2,20.9,17.3,9.6,3.1,6.3,13.5,22.9,2.4,2.4,4.8,0.193,3.5,6.5,10.0
21,Deng Adel,34,33,1126.0,17.3,0.5539999999999999,0.511,0.36,0.33,487.0,2.3,14.3,8.6,16.5,1.1,1.0,14.4,24.1,2.0,1.5,3.6,0.127,3.1,1.2,4.3
22,Kevin Huerter,32,32,1101.0,19.4,0.64,0.616,0.5429999999999999,0.307,457.0,3.7,12.9,8.8,20.3,1.1,2.1,17.8,21.5,3.0,1.6,4.5,0.165,6.4,2.3,8.7
23,Justin Jackson,11,10,321.0,14.2,0.47,0.41600000000000004,0.396,0.287,119.0,11.2,21.1,16.6,12.7,1.7,3.0,21.8,24.1,0.0,0.6,0.7,0.083,-0.5,3.7,3.2
24,Lonnie Walker,32,18,888.0,16.3,0.527,0.503,0.509,0.204,344.0,1.7,9.2,5.5,13.0,2.0,1.8,9.6,22.4,1.6,1.3,2.8,0.127,3.1,1.6,4.8
25,Bruce Brown,19,19,640.0,16.9,0.488,0.457,0.319,0.37200000000000005,242.0,4.6,20.0,12.4,21.3,2.3,2.5,16.3,21.2,0.7,1.2,1.9,0.121,1.6,5.1,6.6
